Cuenta,Contacto,Puesto,Celular,Correo_electronico,Stage,Visitas_Web,Emails_Abiertos,Llamadas_Realizadas,Presupuesto_Estimado,Sector,Tamaño_Empresa,Antiguedad_Cuenta_Meses,Interacciones_Totales,Cliente
"Rasmussen, Dickerson and Edwards",Bruce Landry,CEO,865366195,colemonique@example.net,closing,3,5,2,45361,Manufactura,Mediana,30,10,0
"Vaughn, Wise and Macias",Christopher Donovan,Gerente de Marketing,811104145,gutierrezkimberly@example.com,closing,0,0,3,9172,Manufactura,Mediana,46,3,0
Morales-Snyder,Steven Decker,Analista,050566127,matthewsnicholas@example.org,selling,3,3,0,33062,Educación,Pequeña,6,6,0
Jimenez-Galvan,Jamie Gallagher,CTO,643212694,bevans@example.org,selling,5,0,0,45239,Salud,Mediana,27,5,1
"Roberts, Parker and Woods",Misty Perkins,CEO,123598599,matthew69@example.com,qualifying,4,5,0,25113,Salud,Pequeña,9,9,0
"Dunn, Collins and Hunter",Melissa Delacruz,Consultor,594501192,john60@example.com,negotiating,3,3,2,34157,Educación,Mediana,5,8,1
"Stanley, Warner and Lee",Paul Gonzalez,Ejecutivo de Ventas,141274303,roystacey@example.net,closing,7,0,2,6682,Manufactura,Pequeña,9,9,0
"Ramirez, Castillo and Foster",Javier Hudson,Ejecutivo de Ventas,914906459,sheriwyatt@example.org,negotiating,7,5,1,2124,Tecnología,Mediana,20,13,0
Powell Ltd,Carly Williams,CTO,555686498,danielclark@example.org,selling,6,3,3,16451,Educación,Pequeña,3,12,0
Blair PLC,Andrew Thompson,Especialista de Producto,603403462,mchavez@example.net,qualifying,2,0,0,18671,Servicios,Pequeña,14,2,0
Acevedo and Sons,Nancy Hart,Especialista de Producto,654110935,lyonsrachel@example.net,negotiating,1,2,0,9258,Servicios,Grande,18,3,0
Kennedy Inc,Timothy Waller,Especialista de Producto,365360245,johnmason@example.com,negotiating,6,0,0,7845,Servicios,Pequeña,32,6,0
"Jones, Obrien and Ali",Trevor Blair,CEO,629386760,perezamy@example.com,closing,5,1,1,7892,Salud,Pequeña,12,7,0
Swanson-Shea,Jill Munoz,CTO,074387231,krista46@example.net,negotiating,1,1,0,14510,Educación,Grande,3,2,0
"Stout, Sanders and Russo",Kelly Kelly,CTO,812298391,jennifer97@example.net,closing,9,1,0,46707,Tecnología,Mediana,30,10,0
Torres-Banks,Paul Holloway,Gerente de Marketing,142216979,abigail73@example.com,selling,3,4,0,3102,Manufactura,Mediana,8,7,0
"Jackson, Cruz and Stone",Keith Young,Gerente de Marketing,473652479,chrisperry@example.com,closing,1,0,1,18898,Servicios,Pequeña,44,2,0
Hickman Inc,Roy Miller,CTO,050703262,ronaldfernandez@example.com,qualifying,1,3,0,39964,Tecnología,Grande,27,4,0
"Obrien, Tapia and Santiago",Erika Lucas,Analista,662080000,stanleycarlos@example.net,negotiating,7,2,2,35896,Educación,Grande,19,11,0
"Riddle, Mccoy and Evans",Carrie Carlson,CEO,290959976,perezcody@example.com,closing,2,0,0,24312,Manufactura,Pequeña,7,2,0
Dixon Group,Nathan Thomas,Analista,957420716,mortonlisa@example.org,qualifying,4,2,1,10591,Servicios,Mediana,36,7,0
"Mendez, Walker and Owens",Melody Vasquez,Especialista de Producto,155141823,jacobsanchez@example.net,qualifying,5,0,0,37337,Salud,Pequeña,18,5,0
Cowan-Cummings,John Perez,CTO,131639482,amyabbott@example.net,negotiating,7,1,0,-1459,Servicios,Mediana,11,8,0
"Taylor, Mcmillan and Zimmerman",Julie Maynard,CEO,635587148,matamatthew@example.org,selling,5,5,1,18419,Educación,Mediana,13,11,0
Dunn-Williams,Marie Perez,CEO,956850122,xrose@example.com,qualifying,2,2,2,42624,Tecnología,Mediana,2,6,0
Benton-Williams,Michael Mitchell MD,Analista,331642270,zhernandez@example.com,closing,2,1,0,12675,Salud,Mediana,8,3,0
"Gardner, Vazquez and Davis",Benjamin Hamilton,Gerente de Marketing,014811604,allisondiana@example.org,negotiating,2,1,0,50594,Tecnología,Mediana,13,3,0
"Smith, Green and Chen",Adrian Davis,CTO,060696256,jeffreysullivan@example.net,qualifying,8,1,0,-283,Manufactura,Grande,17,9,0
Alexander-Foster,Mrs. Katherine Martinez,Analista,664612575,gsanchez@example.net,closing,5,1,1,45599,Servicios,Pequeña,5,7,0
"Barrett, Williams and Medina",Matthew Gonzales,CEO,931353916,meganperez@example.com,negotiating,5,2,2,209,Retail,Pequeña,14,9,0
"Gutierrez, Guerra and Guerrero",Monica Mullen,Analista,754619924,amandaknapp@example.org,negotiating,7,8,0,46847,Tecnología,Pequeña,31,15,1
Sanchez Inc,Brian Taylor,Ejecutivo de Ventas,066532913,rebeccagraham@example.org,selling,7,4,0,14316,Educación,Grande,14,11,0
"Martinez, Cabrera and Baker",Lisa Brown,Consultor,812222909,fernandocole@example.org,selling,2,5,0,41476,Tecnología,Mediana,19,7,0
"Gay, Freeman and Campbell",Stephen Turner,CEO,067835847,olopez@example.org,closing,1,2,0,23148,Servicios,Pequeña,29,3,0
Nixon Inc,Nicholas Hill,Consultor,646433384,stevenferguson@example.org,selling,3,0,0,2917,Manufactura,Mediana,26,3,0
Torres and Sons,Roger Harris,Gerente de Marketing,900811107,rjones@example.com,negotiating,2,1,1,29140,Tecnología,Pequeña,35,4,0
Krueger-Smith,Tonya Wilson,CTO,393638546,michael77@example.org,closing,8,4,0,17411,Manufactura,Pequeña,20,12,1
"Mcdaniel, Robbins and Green",Kevin Wiggins,Consultor,496771959,jenniferashley@example.com,selling,5,0,0,44833,Salud,Mediana,13,5,0
"Davis, Allen and Cowan",Mrs. Michelle Fisher,CTO,607783990,jchase@example.net,closing,9,1,0,11628,Servicios,Mediana,39,10,0
"Mcpherson, Morris and Wright",Darrell Price,CTO,983218749,sullivanjeffrey@example.org,closing,1,4,0,2562,Salud,Grande,4,5,0
Sharp-Sullivan,Jason Evans,Gerente de Marketing,077672637,brittany42@example.com,qualifying,2,1,0,16163,Educación,Pequeña,39,3,0
"Small, Quinn and Wallace",Judy Hendrix,Especialista de Producto,823227465,burtonwilliam@example.com,qualifying,3,3,0,13790,Educación,Pequeña,20,6,0
Nichols-Ross,Dr. Nancy Casey,CEO,184543358,amandamitchell@example.net,negotiating,5,6,2,46909,Salud,Pequeña,43,13,0
Berry Inc,David Brooks,Especialista de Producto,602227421,dpace@example.com,closing,2,0,1,9535,Retail,Mediana,46,3,0
Martin PLC,Kenneth Chavez,CEO,198669871,courtney00@example.net,closing,3,0,1,19980,Retail,Grande,37,4,0
"Nichols, Jackson and Norton",Wesley Hill,Ejecutivo de Ventas,836559957,andrew11@example.com,qualifying,0,0,0,47460,Manufactura,Pequeña,42,0,0
"Lambert, Barnes and Andrews",Glenn George,Especialista de Producto,840269799,kathleenkirby@example.org,selling,3,5,1,43603,Retail,Pequeña,35,9,0
Anderson-Hanson,Sandra May,Analista,611713223,david16@example.org,closing,7,2,0,35152,Servicios,Pequeña,39,9,0
Webster PLC,Cynthia Flores,Gerente de Marketing,744575347,tconner@example.com,closing,5,5,4,27056,Retail,Pequeña,41,14,0
"Davis, Snyder and Smith",Stephanie Franklin,CEO,398699589,jonathanrodriguez@example.org,closing,1,2,0,24866,Tecnología,Pequeña,13,3,0
Curtis-Lamb,Tina King,Consultor,732568376,jamesrobert@example.org,negotiating,2,2,0,38994,Tecnología,Mediana,2,4,0
Smith-Wheeler,David Rodriguez,Especialista de Producto,092546748,uwade@example.org,negotiating,3,2,1,17906,Tecnología,Pequeña,27,6,0
Morgan-Ramirez,Anthony Hayes,Gerente de Marketing,798190839,fergusonkenneth@example.net,qualifying,8,4,0,6880,Tecnología,Mediana,45,12,0
Thomas-Graham,Bradley James,CEO,118156861,blairrebecca@example.org,qualifying,2,2,2,38447,Educación,Pequeña,10,6,0
Nguyen Inc,Jesus Terrell,Especialista de Producto,170908378,evanhill@example.org,selling,3,3,3,13753,Salud,Pequeña,21,9,0
"Santos, Barnes and Rosales",Michelle Adkins,Analista,497155134,zperry@example.com,qualifying,2,1,0,25441,Retail,Pequeña,14,3,0
Clarke-Brady,Donna Gomez,Especialista de Producto,276459508,leemelissa@example.com,selling,8,6,1,24245,Retail,Mediana,18,15,0
Rios LLC,Sarah Fox,Gerente de Marketing,471883031,cgreen@example.net,qualifying,1,2,2,7599,Servicios,Pequeña,10,5,0
Sellers-Ball,Diana Zhang,CTO,692987772,justinshaffer@example.net,negotiating,5,3,0,8989,Tecnología,Pequeña,23,8,0
Price-Buckley,Brandi Chen,Consultor,454846630,chamberschristopher@example.org,negotiating,7,0,0,20147,Retail,Pequeña,8,7,0
"Rice, Martinez and Rodriguez",Donna Warren,Consultor,878806294,dwong@example.com,qualifying,0,1,1,8445,Servicios,Grande,9,2,0
Taylor PLC,Annette Hill,Ejecutivo de Ventas,780016965,lisabennett@example.com,negotiating,4,1,2,39864,Educación,Mediana,45,7,0
Rocha Inc,Jonathan Jacobs,CTO,862345099,pking@example.org,closing,5,5,2,33124,Retail,Mediana,22,12,0
Randolph-Lee,Andrea Hoffman,Analista,565311829,amandabennett@example.net,qualifying,2,2,1,31070,Salud,Mediana,26,5,0
Rodriguez Ltd,Daniel Wood,Especialista de Producto,116859564,david32@example.net,selling,4,2,0,11142,Salud,Pequeña,33,6,0
Harmon-Flowers,Edwin Garrett,Analista,143690238,osmith@example.com,closing,3,5,3,32601,Educación,Pequeña,27,11,0
"Brown, Hayes and Clark",Laura Moore,CEO,296666760,mcclainkatherine@example.net,negotiating,8,0,1,20643,Salud,Pequeña,36,9,1
Pierce and Sons,Carlos Castillo,CTO,101688145,pfrazier@example.net,selling,0,2,3,31023,Manufactura,Mediana,29,5,0
"Sanford, Brown and Reed",Nicole Cobb,Consultor,147465264,brandon52@example.net,qualifying,3,3,1,16078,Retail,Mediana,5,7,0
"Zimmerman, King and Morrison",Regina Lane,Analista,209535286,fcordova@example.com,negotiating,2,2,1,32988,Salud,Pequeña,39,5,0
Gonzalez Ltd,Erin Williamson,Especialista de Producto,530865295,elizabeth17@example.net,selling,2,1,0,27763,Tecnología,Pequeña,12,3,0
Smith Ltd,Matthew Barrett,Consultor,253690912,whiteregina@example.net,negotiating,7,4,1,32321,Salud,Pequeña,16,12,1
"Phillips, Martin and Cohen",Christine Ortiz,Gerente de Marketing,769267378,christopherstevens@example.org,negotiating,9,0,0,30037,Salud,Mediana,45,9,0
"Rodriguez, Curry and Mcclure",Andres Gregory,Especialista de Producto,473863684,theresa24@example.org,closing,1,3,0,26788,Tecnología,Mediana,23,4,0
"Sherman, Lozano and Cox",Nancy Brown,Consultor,167390025,zpatterson@example.org,qualifying,4,4,0,32337,Salud,Pequeña,8,8,0
Wong-Barnes,Samantha Aguirre,Analista,252321700,huntelizabeth@example.com,closing,2,2,0,10664,Manufactura,Grande,10,4,0
Coleman-White,Michelle Lewis,CTO,324965773,huntkenneth@example.org,selling,2,2,2,27376,Salud,Pequeña,17,6,0
"Gaines, Davis and Miller",Tracy Kidd,Analista,545568521,elizabeth91@example.org,closing,1,3,1,25111,Servicios,Mediana,35,5,0
"Byrd, Weeks and Chen",Abigail Villarreal,CTO,771309878,chadmartinez@example.com,qualifying,7,0,3,34365,Servicios,Pequeña,32,10,0
Payne-King,Sandra Murphy,CEO,540462452,kenneth12@example.org,negotiating,1,2,3,13753,Salud,Grande,1,6,0
"Evans, Gray and Hanson",Linda Allen,Analista,439502026,sarah41@example.com,negotiating,4,2,0,4796,Tecnología,Pequeña,22,6,0
Harmon-Rose,Melvin James,Gerente de Marketing,638382755,amanda01@example.org,selling,8,5,0,17336,Servicios,Mediana,43,13,0
Watson LLC,Michelle Davidson,Gerente de Marketing,586972238,angelajackson@example.org,qualifying,2,1,0,45444,Servicios,Mediana,20,3,0
"Curry, Taylor and Washington",Hannah Garcia,CTO,292819517,stewartlauren@example.com,selling,3,4,0,38982,Tecnología,Grande,31,7,0
"Zuniga, Solis and Keller",Stephen Mathews,Gerente de Marketing,786198693,markmontgomery@example.net,negotiating,4,2,1,26218,Servicios,Mediana,44,7,0
Lee-Campbell,Tina Torres,Consultor,286651617,paul46@example.org,qualifying,4,5,2,28269,Manufactura,Pequeña,26,11,0
"Gardner, Powers and Harrison",Linda Higgins,CEO,545900080,riveranichole@example.com,qualifying,4,0,1,19079,Servicios,Grande,4,5,0
Williams Ltd,Christopher Kennedy,Consultor,890498728,olawson@example.net,negotiating,3,2,0,12335,Retail,Pequeña,12,5,0
Hall Group,Roy Spencer,CTO,023530174,woodkenneth@example.com,negotiating,3,1,0,12831,Salud,Grande,24,4,0
"Calderon, Anderson and Wolf",Jessica Stevens,Ejecutivo de Ventas,497660200,ronaldjordan@example.org,selling,3,4,1,27708,Servicios,Grande,32,8,0
"Green, Dougherty and Sanchez",Daniel Mcfarland,Ejecutivo de Ventas,145621662,hortoncharles@example.org,qualifying,8,4,1,31835,Educación,Pequeña,39,13,0
"Hammond, Marshall and Moore",Sarah Greene,Ejecutivo de Ventas,800527339,georgeross@example.org,qualifying,6,1,0,31423,Servicios,Pequeña,26,7,0
"Tucker, Brown and Ho",Brittany Scott,Consultor,879383810,ramirezoscar@example.org,selling,6,2,0,29981,Manufactura,Grande,14,8,0
Black-Torres,Randy Howard,Gerente de Marketing,078514230,jdavis@example.org,selling,0,0,0,11146,Tecnología,Pequeña,4,0,0
"Torres, Lewis and Nunez",Frances Stone,CEO,690251111,charlesowen@example.net,qualifying,1,2,3,26882,Tecnología,Mediana,35,6,0
"Zimmerman, Caldwell and Brewer",Troy Meadows,CTO,171190483,rodneybenjamin@example.com,closing,2,2,0,41456,Manufactura,Pequeña,19,4,0
Anderson PLC,Theresa Edwards,CTO,851581170,harrisonhoward@example.net,closing,0,5,1,23644,Servicios,Pequeña,19,6,0
Mclaughlin-Gonzalez,Jason Davis,Ejecutivo de Ventas,881665981,edunlap@example.org,negotiating,2,3,0,24143,Servicios,Pequeña,28,5,0
Cook and Sons,Laura Delacruz,CTO,732283608,brianclark@example.net,negotiating,2,3,2,35880,Servicios,Mediana,9,7,1
"Dawson, Jackson and Santiago",Christian Williams,Ejecutivo de Ventas,639719103,jimenezsarah@example.com,negotiating,2,1,2,41028,Salud,Mediana,47,5,0
"Sanders, Lewis and Dodson",Brian Robertson,Gerente de Marketing,704173879,asanders@example.net,selling,3,3,0,31755,Manufactura,Pequeña,37,6,0
"Dunn, Barker and Blake",Patricia Wang,Analista,941616217,rpatel@example.com,qualifying,0,0,1,18489,Educación,Pequeña,36,1,0
Mays PLC,Ashley Miller,CEO,109304948,edgar09@example.com,negotiating,2,2,1,10196,Educación,Mediana,20,5,0
"Johnson, Wright and Murphy",Justin Robbins,Consultor,744921852,christopherrivera@example.com,closing,8,2,0,22993,Servicios,Pequeña,33,10,0
Ramirez Inc,Rachel Boyd,Consultor,320600199,robertgilbert@example.net,selling,3,0,0,8776,Servicios,Mediana,5,3,0
Osborn Ltd,Kurt Flores,CTO,168685487,jrodriguez@example.org,negotiating,6,5,2,10900,Tecnología,Pequeña,8,13,1
Thompson-Johnson,Tammy Herring MD,Especialista de Producto,694433645,hallmichael@example.com,qualifying,2,1,1,21465,Educación,Pequeña,5,4,0
"Robles, Sanders and Richardson",Mark Smith,Especialista de Producto,211280097,fischerchelsea@example.com,selling,6,0,0,34919,Manufactura,Pequeña,9,6,0
Morgan LLC,Joseph Wilkerson,Especialista de Producto,381169603,imarquez@example.com,negotiating,0,1,2,39109,Manufactura,Pequeña,47,3,0
Johnson and Sons,Eric Velasquez,Especialista de Producto,292192290,michaeljohnson@example.com,qualifying,6,1,2,30276,Servicios,Mediana,36,9,0
"Hart, Thomas and Keller",Judy Padilla,Especialista de Producto,057488502,ztran@example.net,selling,5,2,1,19888,Tecnología,Pequeña,24,8,0
Clark-Cooper,Gerald Mccullough,CEO,706653779,josephortiz@example.net,closing,7,0,1,27806,Educación,Pequeña,47,8,0
Espinoza Group,Ernest Knox,CTO,467810355,duffynicholas@example.com,qualifying,7,1,0,11664,Educación,Pequeña,28,8,0
Lopez Inc,Dillon Palmer,Especialista de Producto,497873380,ashley92@example.org,closing,5,0,3,10954,Salud,Pequeña,18,8,0
Robinson Ltd,Sharon Martin,Especialista de Producto,823256665,andrew97@example.org,closing,6,2,1,12265,Salud,Pequeña,15,9,0
Hart LLC,Hannah Russell,CEO,159056874,erichester@example.org,selling,1,1,0,5341,Manufactura,Pequeña,16,2,0
Williams Inc,Nicole Ryan,Ejecutivo de Ventas,513923418,melanie24@example.com,negotiating,7,2,0,39550,Retail,Pequeña,4,9,0
Vega Group,Alyssa Rodriguez,Consultor,393598707,andrea27@example.org,qualifying,6,3,2,3574,Educación,Pequeña,5,11,0
Anderson-Thomas,Robert Dougherty,Analista,725374253,richardkathryn@example.com,selling,5,0,1,36520,Educación,Pequeña,15,6,0
Adams Group,Crystal Curtis,Gerente de Marketing,302760260,reevescynthia@example.org,qualifying,5,1,2,21469,Servicios,Pequeña,18,8,0
Webb PLC,Clarence Howard,Especialista de Producto,949725645,douglas33@example.net,selling,4,2,1,2916,Tecnología,Pequeña,39,7,0
"Singh, Barron and Turner",David Hart,Gerente de Marketing,986170257,wconner@example.com,selling,7,2,0,3612,Retail,Mediana,14,9,0
Wiley Inc,Laura Morales,Especialista de Producto,045312055,hillandrew@example.com,selling,3,0,4,29525,Retail,Mediana,44,7,0
"Hancock, Jackson and Wyatt",Joshua Hogan,Ejecutivo de Ventas,615649379,icarrillo@example.com,selling,5,1,1,432,Retail,Pequeña,17,7,0
"Novak, Salas and Russell",Robin Miller,CEO,239749821,vburns@example.com,qualifying,3,3,0,30802,Servicios,Mediana,46,6,0
"Peck, Johnson and Underwood",Chad Martinez,CTO,451447570,qhill@example.com,closing,1,2,1,15647,Tecnología,Grande,11,4,0
"Hogan, Zimmerman and Hoffman",Justin Lee,CEO,983780182,imiller@example.net,closing,5,3,3,42844,Servicios,Grande,11,11,1
"Bridges, Reynolds and Osborne",Jeanette Petty,CEO,926385916,dunnjohn@example.com,selling,4,1,1,32220,Retail,Mediana,2,6,0
Morgan-Jackson,Randy Blair,Analista,364740656,melissa88@example.com,selling,5,2,1,26848,Educación,Mediana,40,8,0
Simmons and Sons,Joshua Ruiz,Analista,575849875,sandovaljennifer@example.org,closing,2,3,3,12519,Manufactura,Mediana,20,8,0
Leonard PLC,Diamond Randolph,Analista,791161146,kiddmelissa@example.org,selling,2,2,0,31702,Tecnología,Mediana,3,4,0
Allen-Bates,Sarah Jackson,CTO,031649669,donna62@example.org,closing,5,3,0,16640,Servicios,Grande,44,8,0
Byrd-Jones,Brian Mendez,Consultor,044519649,zbrown@example.net,negotiating,4,2,1,4223,Manufactura,Mediana,21,7,0
"Bradley, Smith and Nguyen",Ashley Bush,CEO,184878129,wwilliams@example.com,qualifying,2,2,2,3452,Tecnología,Mediana,41,6,0
Schmidt and Sons,Elizabeth Fischer,Especialista de Producto,905555544,brian35@example.org,negotiating,0,4,0,20490,Servicios,Pequeña,18,4,0
Garza-Shea,Jeffrey Montgomery,Ejecutivo de Ventas,080897474,richard18@example.org,qualifying,4,6,1,6993,Salud,Grande,33,11,1
Zimmerman Group,Jennifer Ochoa,CEO,498703862,fosterbrianna@example.net,negotiating,4,0,0,36394,Retail,Pequeña,9,4,0
"Brown, Bennett and Martin",Shane Marshall,Consultor,148021645,leroyphillips@example.net,selling,2,2,1,-419,Manufactura,Mediana,26,5,0
Foster Ltd,Scott King,Ejecutivo de Ventas,092223266,victoria22@example.net,qualifying,6,2,1,32086,Tecnología,Pequeña,6,9,0
Gallegos-Jackson,Todd Johnson,CEO,946879236,deborah67@example.com,negotiating,3,5,2,6863,Educación,Mediana,23,10,0
Miller Ltd,Dana Gilbert,Ejecutivo de Ventas,279083350,sandra57@example.org,selling,5,2,0,42284,Salud,Grande,20,7,1
"Brown, Jones and Clements",Brett Johnson,Analista,351401305,shannonhodges@example.com,negotiating,3,2,0,20988,Manufactura,Mediana,26,5,0
Hopkins Inc,April Perry,CTO,154262929,juarezjoshua@example.com,closing,2,2,0,21482,Manufactura,Grande,12,4,0
"Powers, Thomas and Hardy",Jennifer Cowan,Ejecutivo de Ventas,575014021,crogers@example.com,closing,3,1,1,8467,Servicios,Mediana,1,5,0
Jordan PLC,Catherine Mcdonald,Ejecutivo de Ventas,526010064,fwebb@example.org,closing,2,2,2,31943,Retail,Grande,29,6,0
Carey and Sons,John Crawford,CEO,063934066,thompsonbrittany@example.com,qualifying,4,5,0,30479,Salud,Mediana,40,9,0
Bennett and Sons,Nicole Graves,CEO,512481584,daniel72@example.com,negotiating,3,0,3,38596,Tecnología,Grande,46,6,0
"Carey, Jackson and Garner",Kathleen Johnson,Especialista de Producto,559070834,qortiz@example.net,closing,2,2,1,27619,Servicios,Grande,33,5,0
Hall-Pham,Christopher Carter,Ejecutivo de Ventas,469990981,rcastro@example.org,qualifying,4,3,2,27742,Retail,Grande,41,9,0
"Mejia, Payne and Steele",Ian Gilbert,Gerente de Marketing,644501949,kaitlyn35@example.org,selling,5,1,0,45856,Salud,Pequeña,12,6,0
"Day, Thomas and Waller",Stephanie Wyatt,Analista,347724999,christopherromero@example.net,qualifying,1,1,3,181,Servicios,Grande,12,5,0
Johnson-Calhoun,Jack Pacheco,CTO,597288859,jonathonhoward@example.com,negotiating,7,1,0,42870,Servicios,Grande,11,8,0
Adams-Martin,Natasha Woods,Consultor,131140158,amandamendoza@example.net,negotiating,5,3,2,4850,Retail,Pequeña,9,10,0
Lambert-Fields,Steven Freeman,Ejecutivo de Ventas,285394710,fuentesjack@example.com,negotiating,6,2,0,23391,Manufactura,Mediana,9,8,0
Lane PLC,Benjamin Davis,Consultor,982218987,gabrielle45@example.org,qualifying,2,0,0,36633,Servicios,Pequeña,33,2,0
Berry-Bryant,Nancy Parker,Ejecutivo de Ventas,320116231,stantonamy@example.com,closing,1,1,0,21039,Retail,Pequeña,43,2,0
"Turner, Hernandez and Neal",Phillip Hayes,Especialista de Producto,107078067,stephen03@example.net,qualifying,1,4,0,24150,Manufactura,Pequeña,16,5,0
Gonzales Group,David Raymond,Analista,505292850,nwalters@example.net,negotiating,4,4,3,27708,Tecnología,Grande,31,11,0
Wilson LLC,Annette Murray,CEO,793396004,gordonmarissa@example.com,negotiating,4,5,0,5794,Retail,Pequeña,28,9,0
